"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jan 13 00:16:55 IST 2023","Fri Jan 13 00:16:55 IST 2023","0","","Traversal","","","",".siblings() - get all sibling DOM elements",""
"skipped","Fri Jan 13 00:16:55 IST 2023","Fri Jan 13 00:16:55 IST 2023","2","","Traversal","","","",".filter() - get DOM elements that match the selector",""
"passed","Wed Jan 18 09:13:44 IST 2023","Wed Jan 18 09:13:44 IST 2023","67","","Verify login for Orange HRM","","","","TC 02",""
"passed","Fri Jan 13 00:09:38 IST 2023","Fri Jan 13 00:09:38 IST 2023","348","","Cypress.version","","","","Get current version of Cypress being run",""
"skipped","Fri Jan 13 00:16:55 IST 2023","Fri Jan 13 00:16:55 IST 2023","1","","Traversal","","","",".nextAll() - get all next sibling DOM elements",""
"skipped","Fri Jan 13 00:13:21 IST 2023","Fri Jan 13 00:13:21 IST 2023","1","","Querying","","","","cy.root() - query the root DOM element",""
"passed","Fri Jan 13 00:11:30 IST 2023","Fri Jan 13 00:11:35 IST 2023","5216","","Network Requests","","","","cy.intercept() - route responses to matching requests",""
"failed","Fri Jan 13 00:14:01 IST 2023","Fri Jan 13 00:14:23 IST 2023","22298","","Spies, Stubs, and Clock","","","","cy.spy() - wrap a method in a spy",""
"passed","Fri Jan 13 00:10:29 IST 2023","Fri Jan 13 00:10:30 IST 2023","438","","Misc","","","","cy.wrap() - wrap an object",""
"passed","Fri Jan 13 00:08:33 IST 2023","Fri Jan 13 00:08:34 IST 2023","1004","Assertions","Explicit Assertions","","","","finds element by class name regex",""
"passed","Fri Jan 13 00:09:35 IST 2023","Fri Jan 13 00:09:35 IST 2023","432","","Cypress.arch","","","","Get CPU architecture name of underlying OS",""
"passed","Wed Jan 18 09:12:41 IST 2023","Wed Jan 18 09:12:42 IST 2023","875","","example to-do app","","","","can add new todo items",""
"skipped","Fri Jan 13 00:17:45 IST 2023","Fri Jan 13 00:17:45 IST 2023","0","","Utilities","","","","Cypress.Blob - blob utilities and base64 string conversion",""
"passed","Fri Jan 13 00:11:12 IST 2023","Fri Jan 13 00:11:17 IST 2023","4714","","Network Requests","","","","cy.request() - make an XHR request",""
"failed","Fri Jan 13 00:15:30 IST 2023","Fri Jan 13 00:15:52 IST 2023","22002","","Spies, Stubs, and Clock","","","","cy.tick() - move time in the browser",""
"broken","Fri Jan 13 00:17:22 IST 2023","Fri Jan 13 00:17:45 IST 2023","22319","","Utilities","","","","Cypress._ - call a lodash method",""
"broken","Fri Jan 13 00:19:20 IST 2023","Fri Jan 13 00:19:43 IST 2023","22371","","Window","","","","cy.window() - get the global window object",""
"passed","Fri Jan 13 00:08:55 IST 2023","Fri Jan 13 00:08:56 IST 2023","502","","Connectors","","","",".spread() - spread an array as individual args to callback function",""
"passed","Fri Jan 13 00:10:54 IST 2023","Fri Jan 13 00:10:55 IST 2023","1503","","Navigation","","","","cy.visit() - visit a remote url",""
"passed","Fri Jan 13 00:10:30 IST 2023","Fri Jan 13 00:10:35 IST 2023","4814","Misc","Cypress.Screenshot","","","","cy.screenshot() - take a screenshot",""
"passed","Fri Jan 13 00:07:43 IST 2023","Fri Jan 13 00:07:45 IST 2023","2266","","Actions","","","",".check() - check a checkbox or radio element",""
"passed","Fri Jan 13 00:10:12 IST 2023","Fri Jan 13 00:10:12 IST 2023","366","","Location","","","","cy.url() - get the current URL",""
"passed","Fri Jan 13 00:10:10 IST 2023","Fri Jan 13 00:10:11 IST 2023","1259","","Location","","","","cy.hash() - get the current URL hash",""
